,Variable Name,Variable Description,Response Codes,Response Labels,Electricity,Natural Gas,Propane,Fuel Oil,Kerosene
331,WDOTHUSE,"Wood used, other than for space heating or water heating","[0, 1]","['No', 'Yes']",,,,,
332,SOLWARM,Solar used for space heating,"[0, 1]","['No', 'Yes']",,,,,
333,SOLARAUX,Solar used for secondary space heating,"[0, 1]","['No', 'Yes']",,,,,
334,SOLWATER,Solar used for water heating,"[0, 1]","['No', 'Yes']",,,,,
335,SOLOTHER,"Solar used, other than for space heating or water heating","[0, 1]","['No', 'Yes']",,,,,
336,OTHWARM,Other fuel used for space heating,"[0, 1]","['No', 'Yes']",,,,,
337,OTHERAUX,Other fuel used for secondary space heating,"[0, 1]","['No', 'Yes']",,,,,
338,OTHWATER,Other fuel used for water heating,"[0, 1]","['No', 'Yes']",,,,,
339,OTHCOOK,Other fuel used for cooking,"[0, 1]","['No', 'Yes']",,,,,
340,ONSITE,Renewable on-site system used,"[0, 1]","['No', 'Yes']",,,,,
341,ONSITEGRID,Renewable on-site system connected to the grid,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
342,PELHEAT,Who pays for electricity used for space heating,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
343,PELHOTWA,Who pays for electricity used for water heating,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
344,PELCOOK,Who pays for electricity used for cooking,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
345,PELAC,Who pays for electricity used for air conditioning,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
346,PELLIGHT,Who pays for electricity used for lighting and other appliances,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
347,OTHERWAYEL,Follow up for 'other' payment of electricity,"[1, 2, 3, -2]","['Relative', 'Rental or condominium agent', 'Paid by some other party', 'Not Applicable']",,,,,
348,PGASHEAT,Who pays for natural gas for space heating,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
349,PGASHTWA,Who pays for natural gas for water heating,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
350,PUGCOOK,Who pays for natural gas for cooking,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
351,PUGOTH,Who pays for natural gas for other uses,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
352,OTHERWAYNG,Follow up for 'other' payment of natural gas,"[1, 2, 3, -2]","['Relative', 'Rental or condominium agent', 'Paid by some other party', 'Not Applicable']",,,,,
353,FOPAY,Who pays for fuel oil,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
354,OTHERWAYFO,Follow up for 'other' payment of fuel oil,"[1, 2, 3, -2]","['Relative', 'Rental or condominium agent', 'Paid by some other party', 'Not Applicable']",,,,,
355,LPGPAY,Who pays for propane,"[1, 2, 3, -2]","['Paid by the household', 'Included in the rent or condominium fee', 'Paid for some other way', 'Not Applicable']",,,,,
356,OTHERWAYLPG,Follow up for 'other' payment of propane,"[1, 2, 3, -2]","['Relative', 'Rental or condominium agent', 'Paid by some other party', 'Not Applicable']",,,,,
357,LPGDELV,Propane delivered,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
358,KERODEL,Kerosene delivered to home,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
359,KEROCASH,Kerosene purchased 'cash and carry',"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
360,WOODLOGS,Wood logs used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
361,WDSCRAP,Wood scraps used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
362,WDPELLET,Wood pellets used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
363,WDOTHER,"Type of wood used other than logs, pellets, or scraps","[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
364,WOODAMT,Cords of wood used in 2009,"[1, 2, 3, 4, 5, -2]","['Half a cord or less', 'About one cord', 'About two cords', 'Three to five cords', 'More than five cords', 'Not Applicable']",,,,,
365,KFUELOT,Household fuel bills include fuel used for non-household purposes,"[0, 1]","['No', 'Yes']",,,,,
366,HHSEX,Sex of householder,"[1, 2]","['Female', 'Male']",,,,,
367,EMPLOYHH,Employment status of householder,"[0, 1, 2]","['Not employed/retired', 'Employed full-time', 'Employed part-time']",,,,,
368,SPOUSE,Householder lives with spouse or partner,"[0, 1]","['No', 'Yes']",,,,,
369,SDESCENT,Householder is Hispanic or Latino,"[0, 1]","['No', 'Yes']",,,,,
370,Householder_Race,Householder's Race,"[1, 2, 3, 4, 5, 6, 7]","['White Alone', 'Black or African/American Alone', 'American Indian or Alaska Native Alone', 'Asian Alone', 'Native Hawaiian or Other Pacific Islander Alone', 'Some Other Race Alone', '2 or More Races Selected']",,,,,
371,EDUCATION,Highest education completed by householder,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","['No schooling completed', 'Kindergarten to grade 12', 'High school diploma or GED', 'Some college, no degree', ""Associate's degree"", ""Bachelor's degree"", ""Master's degree"", 'Professional degree', 'Doctorate degree']",,,,,
372,AGEHHMEMCAT2,Age category of second household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
373,AGEHHMEMCAT3,Age category of third household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
374,AGEHHMEMCAT4,Age category of fourth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
375,AGEHHMEMCAT5,Age category of fifth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
376,AGEHHMEMCAT6,Age category of sixth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
377,AGEHHMEMCAT7,Age category of seventh household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
378,AGEHHMEMCAT8,Age category of eighth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
379,AGEHHMEMCAT9,Age category of ninth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
380,AGEHHMEMCAT10,Age category of tenth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
381,AGEHHMEMCAT11,Age category of eleventh household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
382,AGEHHMEMCAT12,Age category of twelfth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
383,AGEHHMEMCAT13,Age category of thirteenth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
384,AGEHHMEMCAT14,Age category of fourteenth household member,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, -2]","['< 5 years old', '5-9 years old', '10-14 years old', '15-19 years old', '20-24 years old', '25-29 years old', '30-34 years old', '35-39 years old', '40-44 years old', '45-49 years old', '50-54 years old', '55-59 years old', '60-64 years old', '65-69 years old', '70-74 years old', '75-79 years old', '80-84 years old', '85 or more years old', 'Not Applicable']",,,,,
385,HBUSNESS,Home-based business or service,"[0, 1]","['No', 'Yes']",,,,,
386,ATHOME,Household member at home on typical week days,"[0, 1]","['No', 'Yes']",,,,,
387,TELLWORK,Household member(s) telecommutes or teleworks,"[0, 1]","['No', 'Yes']",,,,,
388,OTHWORK,Any activities that use an unusual amount of energy,"[0, 1]","['No', 'Yes']",,,,,
389,WORKPAY,Household members received employment income in 2009,"[0, 1]","['No', 'Yes']",,,,,
390,RETIREPY,Household members received retirement income in 2009,"[0, 1]","['No', 'Yes']",,,,,
391,SSINCOME,Household members received Supplemental Security income in 2009,"[0, 1]","['No', 'Yes']",,,,,
392,CASHBEN,Household members received welfare payments or cash assistance in 2009,"[0, 1]","['No', 'Yes']",,,,,
393,INVESTMT,Household members received investment income in 2009,"[0, 1]","['No', 'Yes']",,,,,
394,RGLRPAY,Household members received other regular income in 2009,"[0, 1]","['No', 'Yes']",,,,,
395,MONEYPY,2009 gross household income,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['Less than $2,500', '$2,500 to $4,999', '$5,000 to $7,499', '$7,500 to $9,999', '$10,000 to $14,999', '$15,000 to $19,999', '$20,000 to $24,999', '$25,000 to $29,999', '$30,000 to $34,999', '$35,000 to $39,999', '$40,000 to $44,999', '$45,000 to $49,999', '$50,000 to $54,999', '$55,000 to $59,999', '$60,000 to $64,999', '$65,000 to $69,999', '$70,000 to $74,999', '$75,000 to $79,999', '$80,000 to $84,999', '$85,000 to $89,999', '$90,000 to $94,999', '$95,000 to $99,999', '$100,000 to $119,999', '$120,000 or More']",,OTH_A,,,
396,POVERTY100,Household income at or below 100% of poverty line,"[0, 1]","['No', 'Yes']",,,,,
397,POVERTY150,Household income at or below 150% of poverty line,"[0, 1]","['No', 'Yes']",,,,,
398,HUPROJ,Housing unit in public housing authority,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
399,RENTHELP,"Lower rent due to Federal, State, or Local housing program","[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
400,FOODASST,Household receives food stamps or WIC assistance,"[0, 1]","['No', 'Yes']",,,,,
